poet,poet_slug,source_poet_label,attributed_century,within_poet_rank,source_record_id,book_title,poem_title,hemistich_1,hemistich_2,symbolism_score,imagery_score,figurative_score,music_score,compression_score,emotion_score,structure_score,novelty_score,overall_score,within_poet_percentile
رودکی,rudaki,رودکی,3,1,108,رباعیات,رباعی شماره ۲۲,در منزل غم فگنده مفرش ماییم,وز آب دو چشم دل پر آتش ماییم,99.94,78.97,98.69,93.41,99.95,86.71,85.48,84.22,91.91,100
رودکی,rudaki,رودکی,3,2,378,قصاید و قطعات,شماره ۷۰,چون سپرم نه میان بزم به نوروز,درمه بهمن بتاز و جان عدو سوز,91.55,78.97,96.52,69.92,96.94,56.08,62.6,98.89,82.12,99.90118577075098
رودکی,rudaki,رودکی,3,3,852,ابیات به جا مانده از کلیله و دمنه و سندبادنامه,بخش ۱۲,هیچ تلخی نیست بر دل تلخ تر,از فراق دوستان پر هنر,93.58,92.94,79,53.4,93.3,96.67,27.15,60.56,78.21,99.70355731225297
رودکی,rudaki,رودکی,3,4,602,قصاید و قطعات,شماره ۱۲۰ - کاندر جهان به کس مگرو جز به فاطمی,تا خوی ابر گل رخ تو کرده شبنمی,شبنم شده‌ست سوخته چون اشک ماتمی,98.4,91.62,87.48,61.21,71.82,56.08,23.33,96.97,76.33,99.60474308300395
رودکی,rudaki,رودکی,3,5,563,قصاید و قطعات,شماره ۱۰۸,زمانی برق پر خنده، زمانی رعد پر ناله,چنان مادر ابر سوک عروس سیزده ساله,81.22,75.92,57.7,81.88,98.6,51.09,70.12,88.75,75.46,99.50592885375494
رودکی,rudaki,رودکی,3,6,78,رباعیات,رباعی شماره ۶,چشمم ز غمت، به هر عقیقی که بسفت,بر چهره هزار گل ز رازم بشکفت,81.22,94.71,57.7,59.63,93.81,80.12,39.39,84.74,75.11,99.40711462450594
رودکی,rudaki,رودکی,3,7,113,رباعیات,رباعی شماره ۲۴,آری، که چو آن ماه بود بازرگان,دیدار به دل فروشد و بوسه به جان,94.31,97.31,96.52,63.05,91.16,0,44.09,70.98,73.08,99.30830039525692
رودکی,rudaki,رودکی,3,8,564,قصاید و قطعات,شماره ۱۰۸,و گشته زین پرند سبز شاخ بید بنساله,چنان چون اشک مهجوران نشسته ژاله بر لاله,72.63,73.41,79,74.23,81.18,46.91,52.27,93.88,71.87,99.2094861660079
رودکی,rudaki,رودکی,3,9,100,رباعیات,رباعی شماره ۱۸,بر عشق توام، نه صبر پیداست، نه دل,بی روی توام، نه عقل بر جاست، نه دل,64.17,0,89.62,97.2,99.14,97.18,98.05,34.18,71.84,99.1106719367589
رودکی,rudaki,رودکی,3,10,578,قصاید و قطعات,شماره ۱۱۳,اگر می نیستی، یکسر همه دل ها خرابستی,اگر در کالبد جان را ندیدستی، شرابستی,94.31,24.59,79,85.67,96.54,18.41,81.73,97.42,71.6,99.01185770750988
