source,target,sourceCentury,targetCentury,phrases,phraseZ,lexical,topic,score,evidence,source_region,target_region,source_city,target_city,distance_km,cross_region
خاقانی,مولوی,6,7,29,12.0,0.267,0.959,0.983,بسیار قوی,قفقاز و آذربایجان,آناتولی، شام و عراق عرب,شماخی,قونیه,1421.9138871419386,True
فردوسی,اسدی توسی,4,5,1,0.4,0.439,0.988,0.978,محدود,خراسان و افغانستان,قفقاز و آذربایجان,توس,نخجوان,1273.8013167905708,True
حافظ,هلالی جغتایی,8,9,2,0.93,0.282,0.953,0.974,محدود,فارس، کرمان و جنوب ایران,خراسان و افغانستان,شیراز,هرات,1049.782045454295,True
حافظ,فروغی بسطامی,8,13,1,0.76,0.315,0.939,0.972,محدود,فارس، کرمان و جنوب ایران,مرکز، شمال و غرب ایران,شیراز,تهران,687.3620609147168,True
جامی,وحشی,9,10,1,0.43,0.298,0.938,0.967,محدود,خراسان و افغانستان,فارس، کرمان و جنوب ایران,هرات,یزد,778.1113184616878,True
خواجوی کرمانی,امیرخسرو دهلوی,7,8,8,3.22,0.266,0.928,0.966,بسیار قوی,فارس، کرمان و جنوب ایران,شبه‌قاره هند,شیراز,دهلی,2391.040444804626,True
حافظ,شهریار,8,14,10,7.19,0.278,0.879,0.961,بسیار قوی,فارس، کرمان و جنوب ایران,قفقاز و آذربایجان,شیراز,تبریز,1107.7854674412413,True
سلمان ساوجی,هلالی جغتایی,8,9,1,0.48,0.275,0.933,0.96,محدود,قفقاز و آذربایجان,خراسان و افغانستان,تبریز,هرات,1484.19355752693,True
ابوسعید ابوالخیر,عراقی,5,7,4,5.13,0.255,0.925,0.959,قابل توجه,خراسان و افغانستان,آناتولی، شام و عراق عرب,میهنه,قونیه,2436.6358165463134,True
سیف فرغانی,وحشی,7,10,1,1.21,0.26,0.917,0.957,محدود,آناتولی، شام و عراق عرب,فارس، کرمان و جنوب ایران,آق‌سرای,یزد,1979.3034297849179,True
ابوسعید ابوالخیر,سعدی,5,7,5,6.05,0.241,0.941,0.952,قابل توجه,خراسان و افغانستان,فارس، کرمان و جنوب ایران,میهنه,شیراز,1141.2313993911412,True
ابوسعید ابوالخیر,امیرخسرو دهلوی,5,8,4,6.13,0.244,0.929,0.951,قابل توجه,خراسان و افغانستان,شبه‌قاره هند,میهنه,دهلی,1860.9555932410558,True
ابوسعید ابوالخیر,مولوی,5,7,3,3.88,0.234,0.979,0.951,قابل توجه,خراسان و افغانستان,آناتولی، شام و عراق عرب,میهنه,قونیه,2436.6358165463134,True
خواجوی کرمانی,هلالی جغتایی,7,9,1,0.93,0.246,0.944,0.948,محدود,فارس، کرمان و جنوب ایران,خراسان و افغانستان,شیراز,هرات,1049.782045454295,True
ابوسعید ابوالخیر,شیخ بهایی,5,10,16,12.0,0.225,0.984,0.948,بسیار قوی,خراسان و افغانستان,مرکز، شمال و غرب ایران,میهنه,اصفهان,957.9324133545153,True
ابوسعید ابوالخیر,عبید زاکانی,5,8,8,11.23,0.23,0.95,0.946,بسیار قوی,خراسان و افغانستان,فارس، کرمان و جنوب ایران,میهنه,شیراز,1141.2313993911412,True
وحشی,شهریار,10,14,1,1.09,0.25,0.9,0.943,محدود,فارس، کرمان و جنوب ایران,قفقاز و آذربایجان,یزد,تبریز,1006.1896543903337,True
حافظ,عرفی,8,10,1,0.95,0.27,0.93,0.94,محدود,فارس، کرمان و جنوب ایران,شبه‌قاره هند,شیراز,لاهور,2093.087310763434,True
ابوسعید ابوالخیر,باباافضل کاشانی,5,6,38,6.51,0.3,0.97,0.938,قابل توجه,خراسان و افغانستان,مرکز، شمال و غرب ایران,میهنه,کاشان,896.1255057604427,True
عرفی,صائب تبریزی,10,11,1,0.42,0.33,0.94,0.932,محدود,شبه‌قاره هند,مرکز، شمال و غرب ایران,لاهور,اصفهان,2137.290496837058,True
