origin_region,center_region,poets,poems,words
آناتولی، شام و عراق عرب,فارس، کرمان و جنوب ایران,1,2701,195568
آناتولی، شام و عراق عرب,مرکز، شمال و غرب ایران,2,725,105393
خراسان و افغانستان,آناتولی، شام و عراق عرب,1,6242,923696
خراسان و افغانستان,خراسان و افغانستان,15,11043,2788076
خراسان و افغانستان,شبه‌قاره هند,1,210,150023
خراسان و افغانستان,قفقاز و آذربایجان,1,144,109366
خراسان و افغانستان,مرکز، شمال و غرب ایران,2,1221,313652
شبه‌قاره هند,شبه‌قاره هند,4,4685,698596
فارس، کرمان و جنوب ایران,شبه‌قاره هند,1,698,60658
فارس، کرمان و جنوب ایران,فارس، کرمان و جنوب ایران,4,4082,576640
فارس، کرمان و جنوب ایران,مرکز، شمال و غرب ایران,1,625,301301
قفقاز و آذربایجان,قفقاز و آذربایجان,7,3975,865210
قفقاز و آذربایجان,مرکز، شمال و غرب ایران,2,10266,1281045
ماوراءالنهر و آسیای مرکزی,آناتولی، شام و عراق عرب,1,189,39995
ماوراءالنهر و آسیای مرکزی,خراسان و افغانستان,1,386,187438
ماوراءالنهر و آسیای مرکزی,ماوراءالنهر و آسیای مرکزی,1,539,13804
مرکز، شمال و غرب ایران,آناتولی، شام و عراق عرب,1,579,76295
مرکز، شمال و غرب ایران,خراسان و افغانستان,2,451,85093
مرکز، شمال و غرب ایران,فارس، کرمان و جنوب ایران,1,264,38560
مرکز، شمال و غرب ایران,قفقاز و آذربایجان,1,897,190867
مرکز، شمال و غرب ایران,مرکز، شمال و غرب ایران,17,4602,724376
