center_city,center_lat,center_lon,center_region,poets,poems,words
نیشابور,36.21,58.8,خراسان و افغانستان,2,5339,1425473
اصفهان,32.65,51.67,مرکز، شمال و غرب ایران,4,10526,1360223
تهران,35.69,51.39,مرکز، شمال و غرب ایران,13,3844,1008717
قونیه,37.87,32.49,آناتولی، شام و عراق عرب,2,6821,999991
دهلی,28.61,77.21,شبه‌قاره هند,2,3652,579532
توس,36.49,59.52,خراسان و افغانستان,1,616,568515
غزنی,33.55,68.42,خراسان و افغانستان,4,2229,518753
شیراز,29.59,52.58,فارس، کرمان و جنوب ایران,4,3695,470600
گنجه,40.68,46.36,قفقاز و آذربایجان,2,569,329945
لاهور,31.52,74.36,شبه‌قاره هند,4,1941,329745
کاشان,33.99,51.41,مرکز، شمال و غرب ایران,3,2190,308244
تبریز,38.08,46.29,قفقاز و آذربایجان,3,1188,249743
شماخی,40.63,48.64,قفقاز و آذربایجان,1,1365,241822
مراغه,37.39,46.24,قفقاز و آذربایجان,1,1326,203831
ماهان,30.06,57.29,فارس، کرمان و جنوب ایران,1,2701,195568
