شاعر متقدم,سده متقدم,شاعر متأخر,سده متأخر,امتیاز,شباهت واژگانی,شباهت موضوعی,تعداد عبارت,نوع شاهد
خاقانی,6,مولوی,7,0.983,0.267,0.959,29,بسیار قوی
فردوسی,4,اسدی توسی,5,0.978,0.439,0.988,1,محدود
حافظ,8,هلالی جغتایی,9,0.974,0.282,0.953,2,محدود
حافظ,8,فروغی بسطامی,13,0.972,0.315,0.939,1,محدود
جامی,9,وحشی,10,0.967,0.298,0.938,1,محدود
خواجوی کرمانی,7,امیرخسرو دهلوی,8,0.966,0.266,0.928,8,بسیار قوی
حافظ,8,شهریار,14,0.961,0.278,0.879,10,بسیار قوی
سلمان ساوجی,8,هلالی جغتایی,9,0.96,0.275,0.933,1,محدود
ابوسعید ابوالخیر,5,عراقی,7,0.959,0.255,0.925,4,قابل توجه
سیف فرغانی,7,وحشی,10,0.957,0.26,0.917,1,محدود
ابوسعید ابوالخیر,5,سعدی,7,0.952,0.241,0.941,5,قابل توجه
ابوسعید ابوالخیر,5,امیرخسرو دهلوی,8,0.951,0.244,0.929,4,قابل توجه
ابوسعید ابوالخیر,5,مولوی,7,0.951,0.234,0.979,3,قابل توجه
خواجوی کرمانی,7,هلالی جغتایی,9,0.948,0.246,0.944,1,محدود
ابوسعید ابوالخیر,5,شیخ بهایی,10,0.948,0.225,0.984,16,بسیار قوی
ابوسعید ابوالخیر,5,عبید زاکانی,8,0.946,0.23,0.95,8,بسیار قوی
وحشی,10,شهریار,14,0.943,0.25,0.9,1,محدود
حافظ,8,عرفی,10,0.94,0.27,0.93,1,محدود
ابوسعید ابوالخیر,5,باباافضل کاشانی,6,0.938,0.3,0.97,38,قابل توجه
عرفی,10,صائب تبریزی,11,0.932,0.33,0.94,1,محدود
