group,word,frequency,poets,birth_century,peak_century,last_active_century,half_life_centuries,early_rate,late_rate,trend_rho,late_to_middle_ratio
پایدار,دل,63279,67,,15,,سانسور راست,54.1,88.2,0.67,
پایدار,جان,37109,67,,15,,سانسور راست,,,,
پایدار,عشق,23234,67,,15,,سانسور راست,,,,
پایدار,جهان,22303,67,,3,,5.79,,,,
پایدار,خاک,15567,67,,15,,سانسور راست,,,,
پایدار,آب,20703,67,,7,,سانسور راست,,,,
روبه‌افول,درم,1252,,,3,15,1.66,4.14,0.70,,
روبه‌افول,دینار,800,,,3,8,2.21,,,,
روبه‌افول,خاقان,643,,,4,12,1.45,,,,
روبه‌افول,سپه,1299,,,4,10,1.40,,,,
روبه‌افول,سپهدار,465,,,4,6,1.41,,,,
روبه‌افول,نبید,128,,,4,5,0.84,,,,
متأخر,آزادی,686,52,14,15,,,0.26,5.32,0.85,
متأخر,خیابان,116,13,13,15,,,,,,
متأخر,سکوت,291,33,13,15,,,,,,
متأخر,جنگل,127,16,13,14,,,,,,
متأخر,خاطره,86,18,13,15,,,,,,
متأخر,غروب,133,24,13,14,,,,,,
بازبرجسته,ملت,506,,,,,,,,,3.7
بازبرجسته,ریشه,736,,,,,,,,,1.8
بازبرجسته,پنجره,216,,,,,,,,,32.4
بازبرجسته,ستاره,1430,,,,,,,,,3.1
بازبرجسته,تنهایی,491,,,,,,,,,3.6
بازبرجسته,خاموش,1332,,,,,,,,,2.3
