سده,راه، سفر و منزل,گل و بلبل,نور، شمع و تاریکی,خون، زخم و خنجر,باده، شراب و ساقی,آتش، شعله و شرر,دریا، موج و ساحل,آینه و بازتاب,قفس و زندان,زنجیر و اسارت
3,14.489,24.631,7.244,6.52,13.04,12.315,5.071,1.449,2.898,2.173
4,18.708,27.973,8.218,17.558,11.597,7.187,3.686,3.379,0.704,3.872
5,25.051,27.068,7.412,18.039,10.074,13.85,6.754,2.225,2.067,2.096
6,29.257,18.222,12.897,16.655,17.166,12.871,4.163,2.564,1.328,1.942
7,25.485,35.696,19.875,17.588,30.493,15.364,5.156,6.727,2.019,2.71
8,29.94,28.775,25.476,16.11,43.699,11.023,10.33,5.36,1.255,2.267
9,34.319,34.254,16.178,22.427,16.69,15.092,5.926,3.963,3.63,2.544
10,35.697,27.089,16.193,21.91,27.398,21.068,3.886,2.365,2.524,3.037
11,34.415,41.48,24.39,24.519,29.231,25.209,19.256,28.35,4.81,4.211
12,29.701,61.585,10.046,22.712,28.39,13.54,4.805,2.184,5.241,0.437
13,25.378,24.313,13.845,29.036,40.748,17.152,3.895,5.568,2.547,3.43
14,31.231,36.305,19.824,20.576,17.483,19.852,16.37,5.696,4.378,3.455
15,32.557,47.8,21.653,53.123,23.792,17.652,4.506,8.675,3.705,4.193
