نام شاعر,slug,سده هجری,تعداد متن,تعداد ابیات,تعداد کتاب,کل واژه,میانه واژه
رودکی,rudaki,3,539,1047,8,13804,14
فردوسی,ferdowsi,4,616,49609,61,568515,517
کسایی,kasaei,4,114,307,3,4474,24
ابوسعید ابوالخیر,abu-saeid-abul-kheir,5,786,1589,2,21731,27
ناصرخسرو,naser-khosrow,5,386,10911,4,187438,477
باباطاهر,baba-taher,5,368,764,2,9131,24
هجویری,hojviri,5,210,1222,40,150023,517
اسدی توسی,asadi-tusi,5,144,19389,1,109366,624
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,5,113,8983,1,110625,734
منوچهری,manuchehri,5,98,2816,4,39614,345
فرخی سیستانی,farrokhi-sistani,5,87,2952,4,40967,498
مسعود سعد سلمان,masud-sad-salman,5,61,1227,3,16158,172
عطار,attar,6,5015,98289,142,1405175,79
سنایی,sanai,6,1794,26109,19,353076,109
انوری,anvari,6,1464,13308,4,177365,58
خاقانی,khaghani,6,1365,17432,7,241822,91
نظامی,nezami,6,378,27779,6,324560,666
خیام,khayyam,6,324,715,10,20298,28
نصرالله منشی,nasrallah-monshi,6,250,818,19,85096,275
باباافضل کاشانی,baba-afzal-kashani,6,202,500,3,7475,29
مهستی گنجوی,mahasti-ganjavi,6,191,382,1,5385,28
عبدالواسع جبلی,abd-al-vase-jabali,6,7,320,1,5263,686
مولوی,rumi,7,6242,65972,10,923696,115
سعدی,saadi,7,1904,16102,31,233043,107
خواجوی کرمانی,khwaju-kermani,7,932,8849,1,126613,135
عراقی,iraqi,7,579,5789,17,76295,107
سیف فرغانی,seyf-farghani,7,189,2758,3,39995,181
شاه نعمت‌الله ولی,shah-nematollah-vali,8,2701,14981,9,195568,78
اوحدی,owhadi,8,1326,14674,8,203831,122
سلمان ساوجی,salman-savoji,8,897,13104,8,190867,133
امیرخسرو دهلوی,amir-khosrow-dehlavi,8,825,7563,8,96288,38
حافظ,hafez,8,595,4751,6,72384,122
عبید زاکانی,obeyd-zakani,8,264,2925,9,38560,98
شیخ محمود شبستری,mahmud-shabestari,8,101,1684,2,21632,204
هلالی جغتایی,helali-jaghatai,9,353,3172,6,45479,110
جامی,jami,9,188,5410,7,64685,255.5
محتشم کاشانی,mohtasham-kashani,10,972,10716,7,163001,116
عرفی,orfi,10,698,3902,3,60658,90
وحشی,vahshi,10,651,10595,10,144600,93
رضی‌الدین آرتیمانی,razi-al-din-artimani,10,233,1550,6,19907,31
شیخ بهایی,sheikh-bahaei,10,176,1289,8,16434,33.5
صائب تبریزی,saeb-tabrizi,11,10043,78890,8,1210269,126
بیدل دهلوی,bidel-dehlavi,11,2827,32333,1,483244,171
فیض کاشانی,feiz-kashani,11,1016,9844,2,137768,129
هاتف اصفهانی,hatef-esfahani,12,194,1587,8,22895,89
قاآنی,qaani,13,625,20496,7,301301,407
فروغی بسطامی,forughi-bastami,13,549,5863,3,88959,160
ملا هادی سبزواری,molla-hadi-sabzevari,13,208,1795,5,23700,105
ملک‌الشعرای بهار,malek-al-shoara-bahar,14,1105,21807,21,279418,157
اقبال لاهوری,iqbal-lahori,14,972,8155,7,102906,27
احمد شاملو,ahmad-shamlou,14,323,7301,17,66463,122
سیمین بهبهانی,simin-behbahani,14,227,2812,1,38817,145
پروین اعتصامی,parvin-etesami,14,223,5594,2,70776,283
شهریار,shahriar,14,190,2607,3,37244,143
کامبیز صدیقی کسمایی,kambiz-sedighi-kasmaei,14,181,1268,3,11169,43
رهی معیری,rahi-moayeri,14,159,1050,9,15577,94
سهراب سپهری,sohrab-sepehri,14,136,2007,8,24696,124
فروغ فرخزاد,forough-farrokhzad,14,124,2856,5,34314,207.5
مهدی اخوان ثالث,mehdi-akhavan-sales,14,116,2651,5,34234,195.5
بهرام سالکی,bahram-saleki,14,104,2332,4,27090,201
شاطرعباس صبوحی,shater-abbas-sabouhi,14,98,608,4,9683,100.5
شیون فومنی,shivon-foumani,14,97,764,4,8376,45
نیما یوشیج (آوای آزاد),nima-yushij,14,55,1463,1,17389,139
خلیل‌الله خلیلی,khalilullah-khalili,14,54,108,1,1481,28
محمدحسن بارق شفیعی,mohammad-hasan-bareq-shafiei,14,48,711,1,8420,154.5
ا لیار (جبار محمدی),a-liyar-jabbar-mohammadi,15,424,2132,6,30736,33
عبدالقهار عاصی,abdul-qahar-asi,15,88,711,6,7830,28.5
