شاعر,سده,کتاب,عنوان,تعداد واژه,علت,robustZ,صدک,نمونه متن
خیام,6,ترانه‌های خیام (صادق هدایت),خیام فیلسوف,5564,بلندی نامعمول,68.441,1,فلسفه خیام هیچ وقت تازگی خود را از دست نخواهد داد. چون این ترانه های در ظاهر کوچک ولی پرمغز تمام مسایل مهم و تاریک فلسفی که در ادوار مختلف انسان را سرگردان کرده و افکاری که جبرا به او تحمیل شده و اسراری که برایش لاینحل مانده مطرح می کند. خیام ترجمان این شکنجه های روحی شده: فریاده…
باباافضل کاشانی,6,قصاید,قصیده شماره ۲,514,بلندی نامعمول,33.462,1,گشوده گردد بر تو در حقیقت باز کناره گیر به یکباره از این جهان مجاز که در جهان مجاز آن کسی بود پر سود که بی زیان به سرانجام خود رسد ز آغاز چو کار آن سری‏ات خود نکو طرازیده است تو این سری به تمنای خویشتن مطراز که این جهان فنای است و آن جهان بقا فنا بد است و بقا نیک، پس به نیکی یاز …
ابوسعید ابوالخیر,5,ابیات پراکنده,تکه ۱ - ابیات پراکنده از رباعیات,266,بلندی نامعمول,25.54,1,چون نیست شدی هست ببودی صنما چون خاک شدی پاک شدی لاجرما وای ای مردم داد زعالم برخاست جرم او کند و عذر مرا باید خواست مرغی به سر کوه نشست و برخاست بنگر که از آن کوه چه افزود و چه کاست بی غم دل کیست تا بدان مالم دست بی غم دل زنگیان شوریده مست جز درد دل از نظاره خوبان چیست آنرا که دو…
باباطاهر,5,باباطاهر,قصیده,247,بلندی نامعمول,21.979,1,بتا تا زار چون تو دلبرستم بتن عود و بسینه مجمرستم اگر جز مهر تو اندر دلم بی به هفتاد و دو ملت کافرستم اگر روزی دو صد بارت بوینم همی مشتاق بار دیگرستم فراق لاله رویان سوته دیلم وز ایشان در رگ جان نشترستم منم آن شاخه بر نخل محبت که حسرت سایه و محنت برستم نه کار آخرت کردم نه دنیا یک…
شیخ محمود شبستری,8,گلشن راز,بخش ۳ - سال در ماهیت فکرت,24,کوتاهی نامعمول,21.524,1,نخست از فکر خویشم در تحیر چه چیز است آن که خوانندش تفکر چه بود آغاز فکرت را نشانی سرانجام تفکر را چه خوانی
منوچهری,5,قصاید و قطعات,شماره ۱۰,69,کوتاهی نامعمول,20.702,1,الا وقت صبوحست، نه گرمست و نه سردست نه ابرست و نه خورشید، نه بادست و نه گردست بیار ای بت کشمیر، شراب کهن پیر بده پر و تهی گیر که مان ننگ و نبردست از آن باده که زردست و نزارست ولیکن نه از عشق نزارست و نه از محنت زردست به جان اندر قوتست و به مغز اندر مشکست به چشم اندرنورست و به روی…
سنایی,6,رباعیات,رباعی شماره ۳۵۱,30,واژگان/ساختار دور از مرکز شاعر,20.541,1,باز آن پسر چه زنخ خوش زن کو آن کودک زن فریب مردافکن کو گیرم دل مرده ریگم او برد و برفت آن صبر که بازماند آن از من کو
قاآنی,13,قصاید,قصیده شماره ۲۶۷ - د‌ر مدح خاقان خلد آشیان فتحعلی شاه مغفور و شجاع السلطنه فرماید,568,واژگان/ساختار دور از مرکز شاعر,19.278,1,پدری و پسری سایه و نور یزدان پدری و پسری رحمت و فیض رحمان چه پدر آنکه ببالد ز جلوسش اورنگ چه پسر آنکه بنازد ز وجودش ایوان چه پدر بخت جوان رامش با پیر خرد چه پسر پیر خرد رامش با بخت جوان چه پدر گشته به نه خطه گردون حاکم چه پسر آمده بر هفت ممالک سلطان چه پدر بنده دربار شکوهش قیصر چ…
ملک‌الشعرای بهار,14,رباعیات,شماره ۶۱,26,کوتاهی نامعمول,17.816,1,آماده جنگ باش کاین چرخ حرون با نرم دلی با تو نگردد مقرون جز با جنگ آماده نمی گردد صلح جزبا خون پاکیزه نمی گردد خون
امیرخسرو دهلوی,8,غزلیات,گزیده غزل ۵۵۸,66,واژگان/ساختار دور از مرکز شاعر,15.078,1,امروز باز شکل دگر گشت یار من یادی نکرد از من و از روزگار من صدره فتاده بر ره خویشم بدید وهیچ رحمت نکرد بر دل امیدوار من مردم در انتظار کناری وی و بخت بد ننهاد آرزوی من اندر کنار من ایزد کجات بهر هلاک من آفرید ای آفت دل من وآشوب کار من دشمن بدیدگریه خسرو دلش بسوخت هرگز نگفتیش بس ا…
