شناسه موضوع,مضمون,سده,سهم درصد,جهت روند,rho,q روند
1,اخلاق، حکمت و خرد,3,18.2,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,4,10.6,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,5,13.2,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,6,15.8,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,7,11.3,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,8,11.9,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,9,10.8,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,10,9.7,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,11,6.4,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,12,6,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,13,6.8,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,14,8.5,کاهشی,-0.413,0.002
1,اخلاق، حکمت و خرد,15,5.2,کاهشی,-0.413,0.002
2,حماسه، شاهی و جنگ,3,22,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,4,48.7,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,5,18.7,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,6,7.5,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,7,3.2,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,8,3.4,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,9,6,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,10,2.8,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,11,0.9,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,12,2.9,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,13,4,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,14,4.2,کاهشی,-0.439,0.001
2,حماسه، شاهی و جنگ,15,3.8,کاهشی,-0.439,0.001
3,دین، تصوف تعلیمی و مناقب,3,3.1,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,4,1.6,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,5,13.1,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,6,6.9,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,7,4,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,8,6.9,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,9,2.6,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,10,5.3,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,11,3.6,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,12,3.4,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,13,4,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,14,2.1,کاهشی,-0.181,0.196
3,دین، تصوف تعلیمی و مناقب,15,3.3,کاهشی,-0.181,0.196
4,جان، دل و پیوند عاشقانه,3,7.1,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,4,5.2,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,5,8.8,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,6,11.1,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,7,16.7,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,8,14.4,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,9,13.3,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,10,14.5,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,11,14.3,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,12,18.9,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,13,12.6,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,14,8.3,افزایشی,0.012,0.924
4,جان، دل و پیوند عاشقانه,15,18.5,افزایشی,0.012,0.924
5,تصویرهای حسی و وجودی,3,10.8,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,4,5,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,5,5.6,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,6,6.9,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,7,5.8,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,8,6.4,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,9,10.7,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,10,12.4,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,11,29,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,12,7.3,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,13,7,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,14,28.7,افزایشی,0.647,0.0001
5,تصویرهای حسی و وجودی,15,18.3,افزایشی,0.647,0.0001
6,زیبایی معشوق و بزم,3,8.6,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,4,5.6,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,5,5.1,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,6,9.5,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,7,15.8,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,8,15.9,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,9,12.5,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,10,12.2,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,11,10.7,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,12,7.9,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,13,20.9,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,14,7,کاهشی,-0.036,0.849
6,زیبایی معشوق و بزم,15,6.9,کاهشی,-0.036,0.849
7,طبیعت، گل و بهار,3,8.2,افزایشی,0.244,0.086
