نوع هشدار,شاعر,کتاب,عنوان,تعداد واژه,تعداد واحد,توضیح
نثر در پیکره شعر,خیام,ترانه‌های خیام (صادق هدایت),مقدمه,3051,42,حذف پیش از تحلیل انتساب
نثر در پیکره شعر,خیام,ترانه‌های خیام (صادق هدایت),خیام فیلسوف,5564,67,حذف پیش از تحلیل انتساب
نثر در پیکره شعر,خیام,ترانه‌های خیام (صادق هدایت),خیام شاعر,2649,33,حذف پیش از تحلیل انتساب
متن بسیار کوتاه,رودکی,ابیات پراکنده,شمارهٔ ۶۰,8,2,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,رودکی,ابیات به جا مانده از مثنوی بحر متقارب,پاره ۱۴,8,2,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,رودکی,ابیات به جا مانده از مثنوی بحر متقارب,پاره ۲۹,8,2,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,کسایی,ابیات پراکنده از فرهنگهای لغت,شمارهٔ  ۴۵,8,2,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,مهستی گنجوی,رباعیات,رباعی شمارۀ ۱۶۶,0,4,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,سعدی,باب هشتم در آداب صحبت,بخش ۵,6,1,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,سعدی,باب هشتم در آداب صحبت,بخش ۵۹,6,1,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,سعدی,باب هشتم در آداب صحبت,بخش ۸۸,8,1,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,امیرخسرو دهلوی,غزلیات,گزیدهٔ غزل ۵۲,8,2,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,شاه نعمت‌الله ولی,مفردات,شمارهٔ ۳۰,8,2,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,شاه نعمت‌الله ولی,مفردات,شمارهٔ ۱۰۷,8,2,عدم کفایت برای داوری مستقل
متن بسیار کوتاه,شاه نعمت‌الله ولی,مفردات,شمارهٔ ۲۳۲,8,2,عدم کفایت برای داوری مستقل
اولویت بازبینی سبک حافظ,حافظ,اشعار منتسب,شمارهٔ ۳,32,4,فاصله درون‌پیکره‌ای 2.21؛ کاربرد «چو»
اولویت بازبینی سبک حافظ,حافظ,اشعار منتسب,شمارهٔ ۱۹,26,4,فاصله درون‌پیکره‌ای 2.19؛ طول متن
اولویت بازبینی سبک حافظ,حافظ,اشعار منتسب,شمارهٔ ۴,14,2,فاصله درون‌پیکره‌ای 2.03؛ طول متن
اولویت بازبینی سبک حافظ,حافظ,اشعار منتسب,شمارهٔ ۸,141,18,فاصله درون‌پیکره‌ای 1.67؛ کاربرد «چو»
اولویت بازبینی سبک حافظ,حافظ,اشعار منتسب,شمارهٔ ۱۸,125,16,فاصله درون‌پیکره‌ای 1.51؛ کاربرد «چو»
اولویت بازبینی سبک حافظ,حافظ,اشعار منتسب,شمارهٔ ۱۲,129,14,فاصله درون‌پیکره‌ای 1.47؛ کاربرد «چو»
اولویت بازبینی سبک حافظ,حافظ,اشعار منتسب,شمارهٔ ۱,157,18,فاصله درون‌پیکره‌ای 1.4؛ کاربرد «گر»
اولویت بازبینی سبک حافظ,حافظ,اشعار منتسب,شمارهٔ ۹,102,14,فاصله درون‌پیکره‌ای 1.34؛ کاربرد «گر»
اولویت بازبینی سبک حافظ,حافظ,اشعار منتسب,شمارهٔ ۱۳,154,18,فاصله درون‌پیکره‌ای 1.3؛ کاربرد «چو»
اولویت بازبینی سبک حافظ,حافظ,اشعار منتسب,شمارهٔ ۷,80,10,فاصله درون‌پیکره‌ای 1.23؛ طول متن
