century,n_poets,regions,entropy,effective_regions,mobile_rate,median_route_km
3,1,1,-0.0,1.0,1.0,275.09311890910664
4,2,1,-0.0,1.0,0.0,0.0
5,9,4,1.2730283365896258,3.5716523669284492,0.6666666666666666,1201.454040157767
6,10,3,0.8979457248567797,2.4545555958911476,0.0,0.0
7,5,2,0.6730116670092565,1.9601317042077895,0.8,3233.9396656654553
8,7,3,1.0042424730540764,2.729838563103603,0.42857142857142855,1054.7646850970427
9,2,1,-0.0,1.0,0.5,464.47553680029006
10,5,3,0.9502705392332347,2.586409289858933,0.4,818.8237494565811
11,3,2,0.6365141682948128,1.8898815748423097,0.6666666666666666,1172.608338887011
12,1,1,-0.0,1.0,0.0,0.0
13,3,2,0.6365141682948128,1.8898815748423097,0.6666666666666666,1114.2209772603642
14,17,4,0.7902347553432827,2.2039137460597886,0.17647058823529413,79.73906436909948
15,2,2,0.6931471805599453,2.0,0.0,49.37166968449502
