century,آناتولی، شام و عراق عرب,خراسان و افغانستان,شبه‌قاره هند,فارس، کرمان و جنوب ایران,قفقاز و آذربایجان,ماوراءالنهر و آسیای مرکزی,مرکز، شمال و غرب ایران
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.4444444444444444,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222
6,0.0,0.6,0.0,0.0,0.3,0.0,0.1
7,0.6,0.0,0.0,0.4,0.0,0.0,0.0
8,0.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.0
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.2,0.2,0.0,0.0,0.6
11,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
14,0.0,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.7647058823529411
15,0.0,0.5,0.0,0.0,0.5,0.0,0.0
