center_city,center_lat,center_lon,center_region,poets,poems,words
نیشابور,36.21,58.8,خراسان و افغانستان,2,5339,1425473
اصفهان,32.65,51.67,مرکز، شمال و غرب ایران,4,10526,1360223
تهران,35.69,51.39,مرکز، شمال و غرب ایران,13,3844,1008717
قونیه,37.87,32.49,آناتولی، شام و عراق عرب,2,6821,999991
دهلی,28.61,77.21,شبه‌قاره هند,2,3652,579532
توس,36.49,59.52,خراسان و افغانستان,1,616,568515
غزنی,33.55,68.42,خراسان و افغانستان,4,2229,518753
شیراز,29.59,52.58,فارس، کرمان و جنوب ایران,4,3695,470600
گنجه,40.68,46.36,قفقاز و آذربایجان,2,569,329945
لاهور,31.52,74.36,شبه‌قاره هند,4,1941,329745
کاشان,33.99,51.41,مرکز، شمال و غرب ایران,3,2190,308244
تبریز,38.08,46.29,قفقاز و آذربایجان,3,1188,249743
شماخی,40.63,48.64,قفقاز و آذربایجان,1,1365,241822
مراغه,37.39,46.24,قفقاز و آذربایجان,1,1326,203831
ماهان,30.06,57.29,فارس، کرمان و جنوب ایران,1,2701,195568
یمگان,36.5,70.8,خراسان و افغانستان,1,386,187438
مرو,37.66,62.18,خراسان و افغانستان,2,1578,181839
یزد,31.9,54.37,فارس، کرمان و جنوب ایران,1,651,144600
هرات,34.35,62.2,خراسان و افغانستان,2,541,110164
نخجوان,39.21,45.41,قفقاز و آذربایجان,1,144,109366
آق‌سرای,38.37,34.03,آناتولی، شام و عراق عرب,1,189,39995
ترکمانچای,37.58,47.39,قفقاز و آذربایجان,1,424,30736
همدان,34.8,48.52,مرکز، شمال و غرب ایران,2,601,29038
سبزوار,36.21,57.68,خراسان و افغانستان,1,208,23700
میهنه,37.6,60.3,خراسان و افغانستان,1,786,21731
رشت,37.28,49.58,مرکز، شمال و غرب ایران,2,278,19545
کابل,34.56,69.21,خراسان و افغانستان,3,190,17731
بخارا,39.77,64.42,ماوراءالنهر و آسیای مرکزی,1,539,13804
غرجستان,34.55,64.5,خراسان و افغانستان,1,7,5263
