name,period,route_km,style_novelty
بهرام سالکی,معاصر (۱۴–۱۵),0.0,4.035983183955958
هجویری,آغازین (۳–۶),600.7270200788835,3.820978918138675
فخرالدین اسعد گرگانی,آغازین (۳–۶),530.142410493117,3.7156112594029764
ناصرخسرو,آغازین (۳–۶),7210.228481328404,3.6364307000108878
شیخ بهایی,میانی (۷–۱۰),1707.4182152147469,3.628871809224443
عراقی,میانی (۷–۱۰),6476.678509181501,3.601151272559421
سیمین بهبهانی,معاصر (۱۴–۱۵),0.0,3.4627545396093944
هلالی جغتایی,میانی (۷–۱۰),754.0007407227071,3.411367969046858
خلیل‌الله خلیلی,معاصر (۱۴–۱۵),11741.576503066544,3.3770402810361904
اوحدی,میانی (۷–۱۰),1444.8483525085871,3.357448308732222
باباافضل کاشانی,آغازین (۳–۶),0.0,3.3459684083762222
نصرالله منشی,آغازین (۳–۶),0.0,3.337226707718737
مهدی اخوان ثالث,معاصر (۱۴–۱۵),742.3842530275197,3.0978351380379734
اسدی توسی,آغازین (۳–۶),1273.8013167905708,2.948929725945605
رودکی,آغازین (۳–۶),275.09311890910664,2.9167472347527768
شیون فومنی,معاصر (۱۴–۱۵),24.81190484697071,2.8331106843976595
نظامی,آغازین (۳–۶),0.0,2.7884440332398124
پروین اعتصامی,معاصر (۱۴–۱۵),525.583145416421,2.7858548833402357
مهستی گنجوی,آغازین (۳–۶),0.0,2.6682300033659136
باباطاهر,آغازین (۳–۶),0.0,2.646069453110149
عبدالواسع جبلی,آغازین (۳–۶),0.0,2.6224405375800015
فردوسی,آغازین (۳–۶),0.0,2.6145295795668626
خیام,آغازین (۳–۶),0.0,2.613326323665047
ابوسعید ابوالخیر,آغازین (۳–۶),408.2877945138739,2.49054047418691
کسایی,آغازین (۳–۶),0.0,2.4026302418687657
اقبال لاهوری,معاصر (۱۴–۱۵),12802.820821270745,2.3490010636843786
نیما یوشیج (آوای آزاد),معاصر (۱۴–۱۵),79.73906436909948,2.2321602411136
جامی,میانی (۷–۱۰),174.95033287787308,2.1038580769098765
ا لیار (جبار محمدی),معاصر (۱۴–۱۵),0.0,2.0716497568680485
فرخی سیستانی,آغازین (۳–۶),1510.9028504554717,2.0522787255090047
شیخ محمود شبستری,میانی (۷–۱۰),52.79001402649982,2.0255886863458734
سهراب سپهری,معاصر (۱۴–۱۵),189.04044690067533,2.005369984479676
عبید زاکانی,میانی (۷–۱۰),1662.6433505407056,1.974709405502996
عبدالقهار عاصی,معاصر (۱۴–۱۵),98.74333936899004,1.9669888417453738
شاطرعباس صبوحی,معاصر (۱۴–۱۵),125.62153815448123,1.964824732144246
احمد شاملو,معاصر (۱۴–۱۵),0.0,1.8630052800688612
فروغ فرخزاد,معاصر (۱۴–۱۵),0.0,1.8228031553599984
منوچهری,آغازین (۳–۶),1315.1060991756754,1.791652599231215
بیدل دهلوی,متأخر کلاسیک (۱۱–۱۳),853.5133928412747,1.774252941687064
کامبیز صدیقی کسمایی,معاصر (۱۴–۱۵),0.0,1.762886353092451
خواجوی کرمانی,میانی (۷–۱۰),2911.556662482769,1.7356851078257591
رضی‌الدین آرتیمانی,میانی (۷–۱۰),28.52625212154853,1.7219342809125922
سعدی,میانی (۷–۱۰),3233.9396656654553,1.679822413353156
رهی معیری,معاصر (۱۴–۱۵),0.0,1.673494422695866
شهریار,معاصر (۱۴–۱۵),1051.166290832842,1.5944171180846578
هاتف اصفهانی,متأخر کلاسیک (۱۱–۱۳),0.0,1.5940364699427454
سیف فرغانی,میانی (۷–۱۰),3227.8495599376615,1.585596349058495
ملا هادی سبزواری,متأخر کلاسیک (۱۱–۱۳),1916.8400291048974,1.5768827227362787
انوری,آغازین (۳–۶),230.17246691034828,1.5473598525281675
امیرخسرو دهلوی,میانی (۷–۱۰),201.43950655112488,1.5386238794122205
ملک‌الشعرای بهار,معاصر (۱۴–۱۵),742.3842530275197,1.525849102901336
شاه نعمت‌الله ولی,میانی (۷–۱۰),3448.7606570265366,1.3848420756383453
عرفی,میانی (۷–۱۰),3054.2089142200653,1.2633745171349224
فروغی بسطامی,متأخر کلاسیک (۱۱–۱۳),1114.2209772603642,1.1844279920457792
قاآنی,متأخر کلاسیک (۱۱–۱۳),687.3620609147168,1.1437066148892927
مسعود سعد سلمان,آغازین (۳–۶),1201.454040157767,1.0666941066797788
مولوی,میانی (۷–۱۰),3425.716376734435,1.033385523756852
عطار,آغازین (۳–۶),0.0,1.0287574644130948
خاقانی,آغازین (۳–۶),4245.245630447098,1.020887129026424
حافظ,میانی (۷–۱۰),0.0,1.0174553270652682
وحشی,میانی (۷–۱۰),818.8237494565811,1.0139034641772107
محتشم کاشانی,میانی (۷–۱۰),0.0,0.9982898472101198
سنایی,آغازین (۳–۶),0.0,0.9246640283811632
سلمان ساوجی,میانی (۷–۱۰),1054.7646850970427,0.8878447903844908
محمدحسن بارق شفیعی,معاصر (۱۴–۱۵),0.0,0.7724839896337351
فیض کاشانی,متأخر کلاسیک (۱۱–۱۳),1172.608338887011,0.7505697547709957
صائب تبریزی,متأخر کلاسیک (۱۱–۱۳),6188.384975066219,0.5634175039002618
