name,century,n_poems,totalWords,origin_city,origin_country,origin_region,center_city,center_country,center_region,route_text,direct_km,route_km,mobile,confidence,note,pc1,pc2,uniqueRatio,averageWordLength,commaRate,questionRate
رودکی,3,539,13804,پنج‌رود,تاجیکستان,ماوراءالنهر و آسیای مرکزی,بخارا,ازبکستان,ماوراءالنهر و آسیای مرکزی,پنج‌رود ← بخارا,275.09311890910664,275.09311890910664,True,بالا,دربار سامانی,-3.6169,-0.771,0.8294,3.278,2.941,0.0
فردوسی,4,616,568515,توس,ایران,خراسان و افغانستان,توس,ایران,خراسان و افغانستان,توس,0.0,0.0,False,بالا,کانون اصلی زندگی و سرایش,4.5389,-2.8195,0.5679,3.461,0.0,0.0
کسایی,4,114,4474,مرو,ترکمنستان,خراسان و افغانستان,مرو,ترکمنستان,خراسان و افغانستان,مرو,0.0,0.0,False,متوسط,کسایی مروزی,-3.5072,-1.1958,0.8218,3.286,1.337,0.0
ابوسعید ابوالخیر,5,786,21731,میهنه,ترکمنستان,خراسان و افغانستان,میهنه,ترکمنستان,خراسان و افغانستان,میهنه ← نیشابور ← میهنه,0.0,408.2877945138739,False,بالا,تحصیل و شبکه صوفیانه,-4.2234,-1.3021,0.8182,3.231,0.0,0.0
ناصرخسرو,5,386,187438,قبادیان,تاجیکستان,ماوراءالنهر و آسیای مرکزی,یمگان,افغانستان,خراسان و افغانستان,قبادیان ← قاهره ← یمگان,253.8318245379604,7210.228481328404,True,بالا,سفر حج و اقامت فاطمی، تبعید در یمگان,4.9592,0.4615,0.5526,3.232,1.058,0.719
باباطاهر,5,368,9131,همدان,ایران,مرکز، شمال و غرب ایران,همدان,ایران,مرکز، شمال و غرب ایران,همدان,0.0,0.0,False,بالا,,-4.3406,-1.4262,0.8261,3.36,0.0,0.0
هجویری,5,210,150023,غزنی,افغانستان,خراسان و افغانستان,لاهور,پاکستان,شبه‌قاره هند,غزنی ← لاهور,600.7270200788835,600.7270200788835,True,بالا,مهاجرت صوفیانه به لاهور,5.552,1.8609,0.4775,3.366,3.216,0.209
اسدی توسی,5,144,109366,توس,ایران,خراسان و افغانستان,نخجوان,جمهوری آذربایجان,قفقاز و آذربایجان,توس ← نخجوان,1273.8013167905708,1273.8013167905708,True,بالا,فعالیت در آذربایجان,5.8942,-4.0037,0.5581,3.258,0.364,0.0
فخرالدین اسعد گرگانی,5,113,110625,گرگان,ایران,مرکز، شمال و غرب ایران,اصفهان,ایران,مرکز، شمال و غرب ایران,گرگان ← اصفهان,530.142410493117,530.142410493117,True,متوسط,پیوند با دربار اصفهان,8.6488,-3.6114,0.5072,3.327,0.0,0.0
منوچهری,5,98,39614,دامغان,ایران,مرکز، شمال و غرب ایران,غزنی,افغانستان,خراسان و افغانستان,دامغان ← غزنی,1315.1060991756754,1315.1060991756754,True,بالا,دربار غزنوی,2.8009,-1.7069,0.6252,3.401,2.309,0.0
فرخی سیستانی,5,87,40967,سیستان,ایران/افغانستان,خراسان و افغانستان,غزنی,افغانستان,خراسان و افغانستان,سیستان ← چغانیان ← غزنی,680.5978472415082,1510.9028504554717,True,بالا,حرکت از سیستان به دربارهای شرقی,5.1658,-1.8356,0.563,3.258,0.58,0.0
مسعود سعد سلمان,5,61,16158,لاهور,پاکستان,شبه‌قاره هند,لاهور,پاکستان,شبه‌قاره هند,لاهور ← غزنی ← لاهور,0.0,1201.454040157767,False,بالا,شبکه غزنوی هند,0.283,0.3358,0.6786,3.267,0.143,0.0
عطار,6,5015,1405175,نیشابور,ایران,خراسان و افغانستان,نیشابور,ایران,خراسان و افغانستان,نیشابور,0.0,0.0,False,بالا,,-1.7175,-0.4663,0.7209,3.297,0.0,0.0
سنایی,6,1794,353076,غزنی,افغانستان,خراسان و افغانستان,غزنی,افغانستان,خراسان و افغانستان,غزنی,0.0,0.0,False,بالا,,-0.8239,-0.5315,0.7027,3.218,0.0,0.0
انوری,6,1464,177365,ابیورد,ترکمنستان,خراسان و افغانستان,مرو,ترکمنستان,خراسان و افغانستان,ابیورد ← مرو,230.17246691034828,230.17246691034828,False,بالا,دربار سنجر,-2.5827,-0.6711,0.7742,3.275,0.0,0.0
خاقانی,6,1365,241822,شماخی,جمهوری آذربایجان,قفقاز و آذربایجان,شماخی,جمهوری آذربایجان,قفقاز و آذربایجان,شماخی ← مکه ← تبریز,0.0,4245.245630447098,False,بالا,سفر حج و پایان زندگی در تبریز,-1.9373,-0.8368,0.7162,3.269,0.0,0.0
نظامی,6,378,324560,گنجه,جمهوری آذربایجان,قفقاز و آذربایجان,گنجه,جمهوری آذربایجان,قفقاز و آذربایجان,گنجه,0.0,0.0,False,بالا,,5.8589,-2.5113,0.5678,3.373,0.0,0.0
خیام,6,324,20298,نیشابور,ایران,خراسان و افغانستان,نیشابور,ایران,خراسان و افغانستان,نیشابور,0.0,0.0,False,بالا,,-4.2955,-1.2711,0.8387,3.2,0.0,0.0
