name,century,origin_city,center_city,route_text,route_km,n_poems,totalWords
اقبال لاهوری,14,سیالکوت,لاهور,سیالکوت ← لاهور ← کمبریج ← مونیخ ← لاهور,12802.820821270745,972,102906
خلیل‌الله خلیلی,14,کابل,کابل,کابل ← اسلام‌آباد ← واشینگتن,11741.576503066544,54,1481
ناصرخسرو,5,قبادیان,یمگان,قبادیان ← قاهره ← یمگان,7210.228481328404,386,187438
عراقی,7,همدان,قونیه,همدان ← مولتان ← قونیه ← دمشق,6476.678509181501,579,76295
صائب تبریزی,11,تبریز,اصفهان,تبریز ← اصفهان ← کابل ← آگرا ← اصفهان,6188.384975066219,10043,1210269
خاقانی,6,شماخی,شماخی,شماخی ← مکه ← تبریز,4245.245630447098,1365,241822
شاه نعمت‌الله ولی,8,حلب,ماهان,حلب ← قاهره ← کوهبنان ← ماهان,3448.7606570265366,2701,195568
مولوی,7,بلخ,قونیه,بلخ ← نیشابور ← بغداد ← دمشق ← قونیه,3425.716376734435,6242,923696
سعدی,7,شیراز,شیراز,شیراز ← بغداد ← دمشق ← شیراز,3233.9396656654553,1904,233043
سیف فرغانی,7,فرغانه,آق‌سرای,فرغانه ← آق‌سرای,3227.8495599376615,189,39995
عرفی,10,شیراز,لاهور,شیراز ← فتیپور سیکری ← لاهور,3054.2089142200653,698,60658
خواجوی کرمانی,7,کرمان,شیراز,کرمان ← بغداد ← تبریز ← شیراز,2911.556662482769,932,126613
ملا هادی سبزواری,13,سبزوار,سبزوار,سبزوار ← اصفهان ← کرمان ← سبزوار,1916.8400291048974,208,23700
شیخ بهایی,10,بعلبک,اصفهان,بعلبک ← قزوین ← اصفهان,1707.4182152147469,176,16434
عبید زاکانی,8,قزوین,شیراز,قزوین ← شیراز ← بغداد,1662.6433505407056,264,38560
